order_id,order_date,customer_id,customer_name,city,product_name,category,quantity,unit_price,discount_percent,sales_channel,payment_method
ORD-1050,2025-09-25,CUST-166,Liam Wilson,London,Classic T-Shirt,Clothing,1,18.99,10.0,Marketplace,Credit Card
ORD-1051,2025-08-03,CUST-180,Olivia Brown,Glasgow,Denim Jeans,Clothing,2,49.99,0.0,Physical Store,Credit Card
ORD-1052,2025-07-15,CUST-157,Liam Roberts,Cardiff,Rain Coat,Outerwear,3,74.99,0.0,Physical Store,PayPal
ORD-1053,2025-06-13,CUST-237,Noah Roberts,Cardiff,Sneakers,Footwear,2,64.99,0.0,Online Store,PayPal
ORD-1054,2025-04-06,CUST-136,Olivia Smith,London,Classic T-Shirt,Clothing,1,18.99,5.0,Online Store,Debit Card
ORD-1055,2025-03-03,CUST-183,James Smith,Edinburgh,Hoodie,Clothing,1,39.99,15.0,Physical Store,PayPal
ORD-1056,2025-03-17,CUST-108,Mia Roberts,Leeds,Hoodie,Clothing,1,39.99,5.0,Marketplace,Cash
ORD-1057,2025-04-09,CUST-239,Noah Wilson,Edinburgh,Hoodie,Clothing,1,39.99,20.0,Online Store,Bank Transfer
ORD-1058,2025-04-19,CUST-141,Lucas Evans,Leeds,Leather Belt,Accessories,2,24.99,20.0,Marketplace,Credit Card
ORD-1059,2025-08-27,CUST-175,Ethan Johnson,Edinburgh,Baseball Cap,Accessories,1,14.99,20.0,Online Store,Cash
ORD-1060,2025-06-19,CUST-236,William Thomas,Manchester,Classic T-Shirt,Clothing,2,18.99,15.0,Marketplace,Credit Card
ORD-1061,2025-05-16,CUST-208,Amelia Brown,London,Baseball Cap,Accessories,2,14.99,10.0,Marketplace,Debit Card
ORD-1062,2025-03-11,CUST-118,Emma Taylor,Liverpool,Running Socks,Footwear,1,9.99,10.0,Online Store,Credit Card
ORD-1063,2025-06-22,CUST-240,Charlotte Brown,Manchester,Rain Coat,Outerwear,1,74.99,20.0,Online Store,Credit Card
ORD-1064,2025-01-01,CUST-230,Lucas Evans,Edinburgh,Leather Belt,Accessories,2,24.99,10.0,Physical Store,Debit Card
ORD-1065,2025-05-14,CUST-157,Amelia Wilson,Cardiff,Winter Jacket,Outerwear,5,89.99,0.0,Physical Store,Bank Transfer
ORD-1066,2025-02-16,CUST-148,Liam Taylor,London,Baseball Cap,Accessories,2,14.99,0.0,Online Store,PayPal
ORD-1067,2025-08-12,CUST-115,Mia Walker,Glasgow,Running Socks,Footwear,1,9.99,0.0,Physical Store,Cash
ORD-1068,2025-03-31,CUST-235,Mia Taylor,Manchester,Baseball Cap,Accessories,5,14.99,0.0,Physical Store,Bank Transfer
ORD-1069,2025-07-20,CUST-240,Amelia Smith,Birmingham,Winter Jacket,Outerwear,2,89.99,0.0,Online Store,Credit Card
ORD-1070,2025-01-10,CUST-155,Lucas Johnson,Manchester,Hoodie,Clothing,5,39.99,10.0,Online Store,Bank Transfer
ORD-1071,2025-05-26,CUST-110,Amelia Smith,Cardiff,Running Socks,Footwear,5,9.99,0.0,Online Store,Debit Card
ORD-1072,2025-04-08,CUST-204,James Smith,Birmingham,Canvas Tote Bag,Accessories,1,19.99,0.0,Physical Store,Bank Transfer
ORD-1073,2025-12-17,CUST-232,James Wilson,Liverpool,Running Socks,Footwear,3,9.99,5.0,Marketplace,Bank Transfer
ORD-1074,2025-05-25,CUST-184,Isabella Brown,Edinburgh,Baseball Cap,Accessories,2,14.99,0.0,Physical Store,PayPal
ORD-1075,2025-10-15,CUST-133,James Thomas,Glasgow,Leather Belt,Accessories,3,24.99,0.0,Physical Store,Credit Card
ORD-1076,2025-09-25,CUST-153,Liam Johnson,Cardiff,Denim Jeans,Clothing,3,49.99,15.0,Physical Store,PayPal
ORD-1077,2025-12-07,CUST-241,William Wilson,Manchester,Winter Jacket,Outerwear,1,89.99,20.0,Online Store,Cash
ORD-1078,2025-10-13,CUST-178,Olivia Johnson,Birmingham,Denim Jeans,Clothing,3,49.99,0.0,Marketplace,Cash
ORD-1079,2025-04-16,CUST-150,Sophia Evans,London,Winter Jacket,Outerwear,3,89.99,0.0,Marketplace,Cash
ORD-1080,2025-12-06,CUST-168,Isabella Smith,Manchester,Rain Coat,Outerwear,5,74.99,0.0,Online Store,Credit Card
ORD-1081,2025-12-02,CUST-194,William Evans,Liverpool,Hoodie,Clothing,4,39.99,0.0,Online Store,Cash
ORD-1082,2025-06-04,CUST-192,Liam Brown,Manchester,Sneakers,Footwear,2,64.99,0.0,Online Store,PayPal
ORD-1083,2025-11-13,CUST-121,Olivia Walker,Cardiff,Hoodie,Clothing,2,39.99,10.0,Online Store,Bank Transfer
ORD-1084,2025-03-19,CUST-144,Charlotte Johnson,Edinburgh,Winter Jacket,Outerwear,2,89.99,0.0,Physical Store,Debit Card
ORD-1085,2025-01-26,CUST-135,Mason Smith,London,Canvas Tote Bag,Accessories,4,19.99,15.0,Physical Store,PayPal
ORD-1086,2025-01-14,CUST-127,Sophia Davies,Leeds,Leather Belt,Accessories,4,24.99,20.0,Online Store,Credit Card
ORD-1087,2025-01-07,CUST-102,Sophia Brown,Leeds,Rain Coat,Outerwear,3,74.99,0.0,Online Store,Cash
ORD-1088,2025-01-15,CUST-218,Liam Brown,Cardiff,Denim Jeans,Clothing,1,49.99,15.0,Physical Store,Debit Card
ORD-1089,2025-05-25,CUST-112,Isabella Roberts,Bristol,Classic T-Shirt,Clothing,4,18.99,15.0,Online Store,Credit Card
ORD-1090,2025-04-21,CUST-133,Olivia Taylor,Glasgow,Hoodie,Clothing,1,39.99,10.0,Online Store,Cash
ORD-1091,2025-06-29,CUST-125,Noah Davies,Manchester,Hoodie,Clothing,1,39.99,0.0,Physical Store,PayPal
ORD-1092,2025-05-30,CUST-120,James Wilson,Liverpool,Canvas Tote Bag,Accessories,2,19.99,0.0,Physical Store,Cash
ORD-1093,2025-08-31,CUST-130,William Brown,Glasgow,Sneakers,Footwear,4,64.99,0.0,Online Store,Credit Card
ORD-1094,2025-04-28,CUST-212,Emma Davies,Glasgow,Leather Belt,Accessories,2,24.99,0.0,Online Store,Debit Card
ORD-1095,2025-06-22,CUST-143,Sophia Walker,Cardiff,Denim Jeans,Clothing,4,49.99,0.0,Physical Store,Cash
ORD-1096,2025-05-20,CUST-146,Emma Smith,London,Hoodie,Clothing,2,39.99,0.0,Online Store,Bank Transfer
ORD-1097,2025-06-27,CUST-109,Liam Smith,Cardiff,Leather Belt,Accessories,2,24.99,0.0,Physical Store,Cash
ORD-1098,2025-11-15,CUST-200,Emma Smith,Edinburgh,Denim Jeans,Clothing,2,49.99,0.0,Online Store,PayPal
ORD-1099,2025-03-10,CUST-161,Liam Smith,Manchester,Sneakers,Footwear,3,64.99,20.0,Physical Store,PayPal
ORD-1100,2025-01-01,CUST-139,Liam Brown,Liverpool,Winter Jacket,Outerwear,1,89.99,5.0,Physical Store,Bank Transfer
ORD-1101,2025-08-01,CUST-104,Noah Brown,Birmingham,Sneakers,Footwear,1,64.99,0.0,Online Store,Credit Card
ORD-1102,2025-10-23,CUST-171,Isabella Roberts,Leeds,Leather Belt,Accessories,1,24.99,10.0,Online Store,PayPal
ORD-1103,2025-05-25,CUST-152,James Roberts,Glasgow,Canvas Tote Bag,Accessories,1,19.99,20.0,Physical Store,PayPal
ORD-1104,2025-02-11,CUST-114,William Brown,London,Canvas Tote Bag,Accessories,3,19.99,0.0,Online Store,PayPal
ORD-1105,2025-10-16,CUST-185,Lucas Smith,Manchester,Leather Belt,Accessories,2,24.99,15.0,Online Store,PayPal
ORD-1106,2025-12-31,CUST-114,Amelia Taylor,Glasgow,Rain Coat,Outerwear,1,74.99,15.0,Physical Store,Cash
ORD-1107,2025-10-19,CUST-125,Liam Brown,Cardiff,Denim Jeans,Clothing,1,49.99,20.0,Online Store,Credit Card
ORD-1108,2025-10-30,CUST-189,Sophia Evans,Glasgow,Sneakers,Footwear,3,64.99,15.0,Online Store,Debit Card
ORD-1109,2025-11-20,CUST-232,Mason Taylor,Glasgow,Classic T-Shirt,Clothing,4,18.99,5.0,Physical Store,Credit Card
ORD-1110,2025-02-20,CUST-128,Isabella Roberts,Glasgow,Classic T-Shirt,Clothing,2,18.99,20.0,Online Store,PayPal
ORD-1111,2025-12-12,CUST-209,Noah Wilson,Bristol,Running Socks,Footwear,1,9.99,15.0,Physical Store,Debit Card
ORD-1112,2025-05-29,CUST-152,William Brown,Edinburgh,Classic T-Shirt,Clothing,4,18.99,15.0,Physical Store,Debit Card
ORD-1113,2025-01-25,CUST-189,Liam Taylor,Liverpool,Baseball Cap,Accessories,1,14.99,0.0,Physical Store,Credit Card
ORD-1114,2025-07-01,CUST-124,Mason Brown,Leeds,Denim Jeans,Clothing,1,49.99,0.0,Physical Store,Bank Transfer
ORD-1115,2025-06-03,CUST-213,Ethan Davies,Cardiff,Sneakers,Footwear,1,64.99,0.0,Online Store,Debit Card
ORD-1116,2025-12-08,CUST-162,Emma Davies,Glasgow,Leather Belt,Accessories,1,24.99,0.0,Online Store,Debit Card
ORD-1117,2025-11-14,CUST-131,Sophia Brown,London,Running Socks,Footwear,1,9.99,0.0,Physical Store,PayPal
ORD-1118,2025-07-13,CUST-212,Liam Johnson,Manchester,Denim Jeans,Clothing,1,49.99,15.0,Online Store,PayPal
ORD-1119,2025-05-11,CUST-131,William Evans,Birmingham,Leather Belt,Accessories,1,24.99,10.0,Online Store,Cash
ORD-1120,2025-12-15,CUST-107,Mia Johnson,London,Classic T-Shirt,Clothing,4,18.99,20.0,Online Store,PayPal
ORD-1121,2025-02-23,CUST-166,Ethan Thomas,Birmingham,Sneakers,Footwear,4,64.99,0.0,Online Store,Credit Card
ORD-1122,2025-06-14,CUST-241,Sophia Taylor,Leeds,Hoodie,Clothing,5,39.99,15.0,Marketplace,Credit Card
ORD-1123,2025-04-22,CUST-224,Noah Brown,Birmingham,Running Socks,Footwear,1,9.99,20.0,Online Store,Cash
ORD-1124,2025-01-11,CUST-229,Noah Taylor,Birmingham,Denim Jeans,Clothing,1,49.99,0.0,Online Store,Cash
ORD-1125,2025-08-14,CUST-152,Amelia Roberts,Birmingham,Leather Belt,Accessories,2,24.99,10.0,Marketplace,Cash
ORD-1126,2025-02-28,CUST-227,Charlotte Thomas,London,Sneakers,Footwear,1,64.99,0.0,Online Store,Debit Card
ORD-1127,2025-12-25,CUST-121,Ethan Roberts,Bristol,Winter Jacket,Outerwear,5,89.99,0.0,Physical Store,Bank Transfer
ORD-1128,2025-05-26,CUST-227,Mason Davies,Cardiff,Denim Jeans,Clothing,4,49.99,10.0,Online Store,Debit Card
ORD-1129,2025-03-17,CUST-186,Noah Roberts,Cardiff,Canvas Tote Bag,Accessories,1,19.99,0.0,Physical Store,Bank Transfer
ORD-1130,2025-04-08,CUST-111,Mason Thomas,Edinburgh,Winter Jacket,Outerwear,4,89.99,15.0,Online store ,Credit Card
ORD-1131,2025-02-15,CUST-163,Mia Walker,Manchester,Classic T-Shirt,Clothing,1,18.99,10.0,Physical Store,PayPal
ORD-1132,2025-10-09,CUST-128,Emma Brown,Cardiff,Classic T-Shirt,Clothing,1,18.99,10.0,Online Store,PayPal
ORD-1133,2025-08-15,CUST-153,William Thomas,Manchester,Leather Belt,Accessories,1,24.99,0.0,Physical Store,Bank Transfer
ORD-1134,2025-08-15,CUST-180,Emma Taylor,Manchester,Sneakers,Footwear,1,64.99,0.0,Online Store,Credit Card
ORD-1135,2025-05-09,CUST-160,Sophia Smith,Glasgow,HOODIE,Accessories,1,14.99,0.0,Physical Store,PayPal
ORD-1136,2025-04-12,CUST-197,Mia Brown,Birmingham,Hoodie,Clothing,1,39.99,10.0,Physical Store,PayPal
ORD-1137,2025-11-07,CUST-146,Isabella Roberts,Glasgow,Classic T-Shirt,Clothing,2,18.99,0.0,Online Store,Bank Transfer
ORD-1138,2025-07-19,CUST-124,Amelia Davies,Manchester,Classic T-Shirt,Clothing,4,18.99,10.0,Online Store,PayPal
ORD-1139,2025-01-16,CUST-244,Isabella Walker,Leeds,Rain Coat,Outerwear,1,74.99,10.0,Online Store,Credit Card
ORD-1140,2025-05-17,CUST-214,Noah Evans,Glasgow,Running Socks,Footwear,3,9.99,20.0,Marketplace,Bank Transfer
ORD-1141,2025-04-13,CUST-116,Emma Evans,Glasgow,Denim Jeans,Clothing,4,49.99,15.0,Physical Store,Cash
ORD-1142,2025-07-02,CUST-207,Mason Thomas,Leeds,Denim Jeans,Clothing,1,49.99,10.0,Physical Store,Debit Card
ORD-1143,2025-06-10,CUST-115,Lucas Johnson,Manchester,Leather Belt,Accessories,2,24.99,15.0,Physical Store,Credit Card
ORD-1144,2025-04-06,CUST-222,William Johnson,Leeds,Denim Jeans,Clothing,3,49.99,0.0,Physical Store,Bank Transfer
ORD-1145,2025-09-29,CUST-220,Noah Roberts,Edinburgh,Classic T-Shirt,Clothing,2,18.99,15.0,Physical Store,Cash
ORD-1146,2025-05-22,CUST-219,James Brown,Manchester,Baseball Cap,Accessories,1,14.99,15.0,Physical Store,Bank Transfer
ORD-1147,2025-11-01,CUST-220,Noah Roberts,Glasgow,Winter Jacket,Outerwear,5,89.99,0.0,Physical Store,PayPal
ORD-1148,2025-10-22,CUST-162,Noah Davies,Glasgow,Rain Coat,Outerwear,2,74.99,10.0,Online Store,Bank Transfer
ORD-1149,2025-02-28,CUST-171,Emma Taylor,Bristol,Denim Jeans,Clothing,1,49.99,20.0,Online Store,Bank Transfer
ORD-1150,2025-11-09,CUST-102,Isabella Johnson,Glasgow,Hoodie,Clothing,2,39.99,15.0,Physical Store,Bank Transfer
ORD-1151,2025-04-09,CUST-119,James Roberts,London,Canvas Tote Bag,Accessories,4,19.99,20.0,Physical Store,Credit Card
ORD-1152,2025-08-04,CUST-102,Charlotte Smith,Birmingham,Hoodie,Clothing,1,39.99,0.0,Physical Store,Bank Transfer
ORD-1153,2025-04-08,CUST-110,Charlotte Wilson,Edinburgh,Winter Jacket,Outerwear,1,89.99,5.0,Physical Store,PayPal
ORD-1154,2025-01-09,CUST-139,Olivia Walker,Edinburgh,Winter Jacket,Outerwear,1,89.99,0.0,Online Store,PayPal
ORD-1155,2025-09-08,CUST-232,Amelia Thomas,Manchester,Denim Jeans,Clothing,5,49.99,5.0,Physical Store,Cash
ORD-1156,2025-10-28,CUST-161,Olivia Thomas,Birmingham,Baseball Cap,Accessories,2,14.99,0.0,Online Store,Credit Card
ORD-1157,2025-09-19,CUST-246,Ethan Smith,Glasgow,Sneakers,Footwear,1,64.99,10.0,Physical Store,PayPal
ORD-1158,2025-06-30,CUST-199,Ethan Roberts,Liverpool,Winter Jacket,Outerwear,2,89.99,0.0,Physical Store,Bank Transfer
ORD-1159,2025-06-09,CUST-206,William Walker,Cardiff,Rain Coat,Outerwear,1,74.99,0.0,Online Store,Credit Card
ORD-1160,2025-08-12,CUST-112,Ethan Evans,London,Leather Belt,Accessories,1,24.99,15.0,Online Store,Credit Card
ORD-1161,2025-03-15,CUST-162,Amelia Brown,Cardiff,Sneakers,Footwear,2,64.99,0.0,Physical Store,Cash
ORD-1162,2025-08-07,CUST-116,Olivia Taylor,Liverpool,Leather Belt,Accessories,5,24.99,5.0,Online Store,Debit Card
ORD-1163,2025-09-27,CUST-128,Olivia Johnson,Bristol,Canvas Tote Bag,Accessories,1,19.99,0.0,Online Store,Cash
ORD-1164,2025-03-20,CUST-157,James Davies,Leeds,Running Socks,Footwear,2,9.99,0.0,Physical Store,Credit Card
ORD-1165,2025-02-08,CUST-114,Ethan Roberts,Leeds,Leather Belt,Accessories,1,24.99,0.0,Online Store,PayPal
ORD-1166,2025-01-22,CUST-126,Charlotte Taylor,Birmingham,Leather Belt,Accessories,5,24.99,0.0,Marketplace,Cash
ORD-1167,2025-03-25,CUST-105,Noah Wilson,Birmingham,Sneakers,Footwear,2,64.99,10.0,Physical Store,PayPal
ORD-1168,2025-06-12,CUST-163,Amelia Johnson,London,Classic T-Shirt,Clothing,1,18.99,5.0,Online Store,Cash
ORD-1169,2025-03-01,CUST-244,Mason Thomas,Cardiff,Denim Jeans,Clothing,4,49.99,5.0,Physical Store,PayPal
ORD-1170,2025-01-24,CUST-159,Liam Wilson,Birmingham,Denim Jeans,Clothing,2,49.99,20.0,Physical Store,Debit Card
ORD-1171,2025-08-16,CUST-108,Mia Taylor,Liverpool,Running Socks,Footwear,1,9.99,15.0,Physical Store,Cash
ORD-1172,2025-12-10,CUST-171,Noah Johnson,London,Canvas Tote Bag,Accessories,3,19.99,10.0,Physical Store,Credit Card
ORD-1173,2025-10-16,CUST-201,Amelia Roberts,Edinburgh,Denim Jeans,Clothing,3,49.99,20.0,Physical Store,PayPal
ORD-1174,2025-02-15,CUST-179,Mia Roberts,Liverpool,Sneakers,Footwear,1,64.99,0.0,Online Store,Cash
ORD-1175,2025-01-02,CUST-132,Mia Smith,Edinburgh,Classic T-Shirt,Clothing,1,18.99,0.0,Physical Store,Debit Card
ORD-1176,2025-06-15,CUST-202,William Johnson,Manchester,Leather Belt,Accessories,1,24.99,15.0,Online Store,Credit Card
ORD-1177,2025-05-03,CUST-233,Sophia Brown,Edinburgh,Running Socks,Footwear,2,9.99,0.0,Marketplace,Debit Card
ORD-1178,2025-11-14,CUST-210,Mia Taylor,Leeds,Denim Jeans,Clothing,2,49.99,0.0,Online Store,Cash
ORD-1179,2025-05-07,CUST-140,Isabella Brown,Manchester,Canvas Tote Bag,Accessories,1,19.99,15.0,Physical Store,Cash
ORD-1180,2025-02-24,CUST-199,Isabella Brown,Glasgow,Winter Jacket,Outerwear,2,89.99,0.0,Marketplace,Bank Transfer
ORD-1181,2025-07-30,CUST-249,Mia Johnson,Cardiff,Running Socks,Footwear,5,9.99,0.0,Marketplace,Debit Card
ORD-1182,2025-04-03,CUST-196,Liam Brown,Leeds,Hoodie,Clothing,2,39.99,0.0,Online Store,Bank Transfer
ORD-1183,2025-08-08,CUST-207,Noah Taylor,Bristol,Rain Coat,Outerwear,2,74.99,5.0,Online Store,Credit Card
ORD-1184,2025-04-27,CUST-197,Emma Walker,Bristol,Classic T-Shirt,Clothing,1,18.99,0.0,Marketplace,Credit Card
ORD-1185,2025-07-05,CUST-224,Isabella Brown,Birmingham,Leather Belt,Accessories,3,24.99,-10.0,Online Store,Bank Transfer
ORD-1186,2025-08-28,CUST-186,Sophia Taylor,Manchester,Classic T-Shirt,Clothing,1,18.99,0.0,Physical Store,Bank Transfer
ORD-1187,2025-11-12,CUST-224,Charlotte Davies,Glasgow,Canvas Tote Bag,Accessories,2,19.99,0.0,Online Store,Cash
ORD-1188,2025-01-28,CUST-165,James Roberts,Birmingham,Denim Jeans,Clothing,4,49.99,15.0,Online Store,Debit Card
ORD-1189,2025-10-30,CUST-130,Ethan Evans,Birmingham,Sneakers,Footwear,2,64.99,5.0,Physical Store,Credit Card
ORD-1190,2025-05-13,CUST-119,Lucas Smith,Glasgow,Rain Coat,Outerwear,2,74.99,15.0,Online Store,Debit Card
ORD-1191,2025-04-17,CUST-148,Emma Roberts,London,Winter Jacket,Outerwear,5,89.99,15.0,Online Store,Cash
ORD-1192,2025-11-30,CUST-229,Ethan Taylor,Edinburgh,Canvas Tote Bag,Accessories,2,19.99,0.0,Online Store,Cash
ORD-1193,2025-07-17,CUST-158,William Brown,Cardiff,Rain Coat,Outerwear,2,74.99,0.0,Physical Store,PayPal
ORD-1194,2025-09-08,CUST-142,Olivia Thomas,Manchester,Rain Coat,Outerwear,2,74.99,10.0,Physical Store,Bank Transfer
ORD-1195,2025-10-21,CUST-183,Sophia Johnson,Leeds,Winter Jacket,Outerwear,4,89.99,20.0,Physical Store,Bank Transfer
ORD-1196,2025-01-08,CUST-184,Isabella Evans,London,Leather Belt,Accessories,5,24.99,0.0,Online Store,Bank Transfer
ORD-1197,2025-07-12,CUST-154,Amelia Johnson,Leeds,Canvas Tote Bag,Accessories,2,19.99,20.0,Marketplace,Credit Card
ORD-1198,2025-10-30,CUST-212,Isabella Thomas,Glasgow,Denim Jeans,Clothing,1,49.99,0.0,Online Store,Cash
ORD-1199,2025-10-31,CUST-168,Charlotte Wilson,Edinburgh,Classic T-Shirt,Clothing,1,18.99,0.0,Physical Store,Cash
ORD-1200,2025-06-18,CUST-188,Lucas Smith,Edinburgh,Denim Jeans,Clothing,1,49.99,15.0,Physical Store,Debit Card
ORD-1201,2025-04-12,CUST-118,Amelia Taylor,Liverpool,Leather Belt,Accessories,1,24.99,10.0,Marketplace,Bank Transfer
ORD-1202,2025-12-10,CUST-153,Ethan Smith,Leeds,Winter Jacket,Outerwear,4,89.99,0.0,Physical Store,Debit Card
ORD-1203,2025-11-12,CUST-192,Noah Brown,Edinburgh,Rain Coat,Outerwear,4,74.99,20.0,Online Store,Debit Card
ORD-1204,2025-04-20,CUST-173,Isabella Brown,Manchester,Hoodie,Clothing,2,39.99,15.0,Online Store,PayPal
ORD-1205,2025-08-09,CUST-111,Amelia Wilson,Cardiff,Baseball Cap,Accessories,1,14.99,0.0,Physical Store,Bank Transfer
ORD-1206,2025-10-29,CUST-207,William Davies,Cardiff,Leather Belt,Accessories,4,24.99,0.0,Physical Store,Bank Transfer
